2011-11-23 16:25:05,893 Starting DroneDriver
2011-11-23 16:25:27,294 vel_x, Err, 60.000000, P, 0.060000, I, 0.000000, D, 0.000000, PID, 0.060000
2011-11-23 16:25:27,294 vel_y, Err, 35.000000, P, 0.035000, I, 0.000000, D, 0.000000, PID, 0.035000
2011-11-23 16:25:27,331 vel_x, Err, 59.000000, P, 0.059000, I, 0.000000, D, -0.013307, PID, 0.045693
2011-11-23 16:25:27,332 vel_y, Err, 34.000000, P, 0.034000, I, 0.000000, D, -0.013227, PID, 0.020773
2011-11-23 16:25:27,378 vel_x, Err, 59.000000, P, 0.059000, I, 0.000000, D, 0.000000, PID, 0.059000
2011-11-23 16:25:27,378 vel_y, Err, 34.000000, P, 0.034000, I, 0.000000, D, 0.000000, PID, 0.034000
2011-11-23 16:25:27,480 vel_x, Err, 59.000000, P, 0.059000, I, 0.000000, D, 0.000000, PID, 0.059000
2011-11-23 16:25:27,480 vel_y, Err, 34.000000, P, 0.034000, I, 0.000000, D, 0.000000, PID, 0.034000
2011-11-23 16:25:27,530 vel_x, Err, 59.000000, P, 0.059000, I, 0.000000, D, 0.000000, PID, 0.059000
2011-11-23 16:25:27,531 vel_y, Err, 34.000000, P, 0.034000, I, 0.000000, D, 0.000000, PID, 0.034000
2011-11-23 16:25:28,180 vel_x, Err, 58.000000, P, 0.058000, I, 0.000000, D, 0.000000, PID, 0.058000
2011-11-23 16:25:28,180 vel_y, Err, 24.000000, P, 0.024000, I, 0.000000, D, 0.000000, PID, 0.024000
2011-11-23 16:25:28,229 vel_x, Err, 57.000000, P, 0.057000, I, 0.000000, D, -0.010185, PID, 0.046815
2011-11-23 16:25:28,229 vel_y, Err, 23.000000, P, 0.023000, I, 0.000000, D, -0.010212, PID, 0.012788
2011-11-23 16:25:28,280 vel_x, Err, 56.000000, P, 0.056000, I, 0.000000, D, -0.009803, PID, 0.046197
2011-11-23 16:25:28,280 vel_y, Err, 22.000000, P, 0.022000, I, 0.000000, D, -0.009754, PID, 0.012246
2011-11-23 16:25:28,328 vel_x, Err, 55.000000, P, 0.055000, I, 0.000000, D, -0.010489, PID, 0.044511
2011-11-23 16:25:28,328 vel_y, Err, 21.000000, P, 0.021000, I, 0.000000, D, -0.010479, PID, 0.010521
2011-11-23 16:25:28,405 vel_x, Err, 57.000000, P, 0.057000, I, 0.000000, D, 0.012965, PID, 0.069965
2011-11-23 16:25:28,405 vel_y, Err, 22.000000, P, 0.022000, I, 0.000000, D, 0.006480, PID, 0.028480
2011-11-23 16:25:28,453 vel_x, Err, 58.000000, P, 0.058000, I, 0.000000, D, 0.010343, PID, 0.068343
2011-11-23 16:25:28,454 vel_y, Err, 22.000000, P, 0.022000, I, 0.000000, D, 0.000000, PID, 0.022000
2011-11-23 16:25:28,505 vel_x, Err, 57.000000, P, 0.057000, I, 0.000000, D, -0.009652, PID, 0.047348
2011-11-23 16:25:28,505 vel_y, Err, 21.000000, P, 0.021000, I, 0.000000, D, -0.009667, PID, 0.011333
2011-11-23 16:25:28,553 vel_x, Err, 56.000000, P, 0.056000, I, 0.000000, D, -0.010425, PID, 0.045575
2011-11-23 16:25:28,553 vel_y, Err, 20.000000, P, 0.020000, I, 0.000000, D, -0.010420, PID, 0.009580
2011-11-23 16:25:28,603 vel_x, Err, 55.000000, P, 0.055000, I, 0.000000, D, -0.009927, PID, 0.045073
2011-11-23 16:25:28,604 vel_y, Err, 19.000000, P, 0.019000, I, 0.000000, D, -0.009857, PID, 0.009143
2011-11-23 16:25:28,655 vel_x, Err, 53.000000, P, 0.053000, I, 0.000000, D, -0.019437, PID, 0.033563
2011-11-23 16:25:28,655 vel_y, Err, 17.000000, P, 0.017000, I, 0.000000, D, -0.019435, PID, -0.002435
2011-11-23 16:25:28,705 vel_x, Err, 51.000000, P, 0.051000, I, 0.000000, D, -0.019807, PID, 0.031193
2011-11-23 16:25:28,706 vel_y, Err, 16.000000, P, 0.016000, I, 0.000000, D, -0.009895, PID, 0.006105
2011-11-23 16:25:28,755 vel_x, Err, 48.000000, P, 0.048000, I, 0.000000, D, -0.030255, PID, 0.017745
2011-11-23 16:25:28,756 vel_y, Err, 14.000000, P, 0.014000, I, 0.000000, D, -0.020153, PID, -0.006153
2011-11-23 16:25:28,880 vel_x, Err, 38.000000, P, 0.038000, I, 0.000000, D, -0.039961, PID, -0.001961
2011-11-23 16:25:28,881 vel_y, Err, 8.000000, P, 0.008000, I, 0.000000, D, -0.023978, PID, -0.015978
2011-11-23 16:25:28,930 vel_x, Err, 34.000000, P, 0.034000, I, 0.000000, D, -0.040005, PID, -0.006005
2011-11-23 16:25:28,931 vel_y, Err, 7.000000, P, 0.007000, I, 0.000000, D, -0.009996, PID, -0.002996
2011-11-23 16:25:28,978 vel_x, Err, 30.000000, P, 0.030000, I, 0.000000, D, -0.041428, PID, -0.011428
2011-11-23 16:25:28,979 vel_y, Err, 5.000000, P, 0.005000, I, 0.000000, D, -0.020899, PID, -0.015899
2011-11-23 16:25:29,028 vel_x, Err, 25.000000, P, 0.025000, I, 0.000000, D, -0.050060, PID, -0.025060
2011-11-23 16:25:29,029 vel_y, Err, 3.000000, P, 0.003000, I, 0.000000, D, -0.019980, PID, -0.016980
2011-11-23 16:25:29,105 vel_x, Err, 19.000000, P, 0.019000, I, 0.000000, D, -0.039301, PID, -0.020301
2011-11-23 16:25:29,105 vel_y, Err, 1.000000, P, 0.001000, I, 0.000000, D, -0.013072, PID, -0.012072
2011-11-23 16:25:29,153 vel_x, Err, 14.000000, P, 0.014000, I, 0.000000, D, -0.052165, PID, -0.038165
2011-11-23 16:25:29,153 vel_y, Err, 0.000000, P, 0.000000, I, 0.000000, D, -0.010468, PID, -0.010468
2011-11-23 16:25:29,205 vel_x, Err, 9.000000, P, 0.009000, I, 0.000000, D, -0.048177, PID, -0.039177
2011-11-23 16:25:29,205 vel_y, Err, -1.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:25:29,254 vel_x, Err, 4.000000, P, 0.004000, I, 0.000000, D, -0.050463, PID, -0.046463
2011-11-23 16:25:29,254 vel_y, Err, -2.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:25:29,303 vel_x, Err, -1.000000, P, -0.001000, I, 0.000000, D, -0.051056, PID, -0.052056
2011-11-23 16:25:29,304 vel_y, Err, -2.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:25:29,355 vel_x, Err, -5.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:25:29,356 vel_y, Err, -1.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:25:29,404 vel_x, Err, -9.000000, P, -0.009000, I, 0.000000, D, -0.039488, PID, -0.048488
2011-11-23 16:25:29,405 vel_y, Err, -1.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:25:29,530 vel_x, Err, -17.000000, P, -0.017000, I, 0.000000, D, -0.031865, PID, -0.048865
2011-11-23 16:25:29,531 vel_y, Err, 1.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:25:29,578 vel_x, Err, -18.000000, P, -0.018000, I, 0.000000, D, -0.010455, PID, -0.028455
2011-11-23 16:25:29,578 vel_y, Err, 1.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:25:29,630 vel_x, Err, -19.000000, P, -0.019000, I, 0.000000, D, -0.009704, PID, -0.028704
2011-11-23 16:25:29,630 vel_y, Err, 1.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:25:29,678 vel_x, Err, -20.000000, P, -0.020000, I, 0.000000, D, -0.010390, PID, -0.030390
2011-11-23 16:25:29,678 vel_y, Err, 1.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:25:29,727 vel_x, Err, -20.000000, P, -0.020000, I, 0.000000, D, 0.000000, PID, -0.020000
2011-11-23 16:25:29,728 vel_y, Err, 0.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:25:29,779 vel_x, Err, -18.000000, P, -0.018000, I, 0.000000, D, 0.019227, PID, 0.001227
2011-11-23 16:25:29,780 vel_y, Err, 0.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:25:29,855 vel_x, Err, -17.000000, P, -0.017000, I, 0.000000, D, 0.006607, PID, -0.010393
2011-11-23 16:25:29,856 vel_y, Err, 0.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:25:29,905 vel_x, Err, -16.000000, P, -0.016000, I, 0.000000, D, 0.009972, PID, -0.006028
2011-11-23 16:25:29,906 vel_y, Err, -1.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:25:29,952 vel_x, Err, -15.000000, P, -0.015000, I, 0.000000, D, 0.010659, PID, -0.004341
2011-11-23 16:25:29,952 vel_y, Err, -1.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:25:30,005 vel_x, Err, -13.000000, P, -0.013000, I, 0.000000, D, 0.018923, PID, 0.005923
2011-11-23 16:25:30,006 vel_y, Err, -2.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:25:30,052 vel_x, Err, -13.000000, P, -0.013000, I, 0.000000, D, 0.000000, PID, -0.013000
2011-11-23 16:25:30,053 vel_y, Err, -4.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:25:30,103 vel_x, Err, -13.000000, P, -0.013000, I, 0.000000, D, 0.000000, PID, -0.013000
2011-11-23 16:25:30,104 vel_y, Err, -5.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:25:30,155 vel_x, Err, -13.000000, P, -0.013000, I, 0.000000, D, 0.000000, PID, -0.013000
2011-11-23 16:25:30,155 vel_y, Err, -6.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:25:30,230 vel_x, Err, -14.000000, P, -0.014000, I, 0.000000, D, -0.006666, PID, -0.020666
2011-11-23 16:25:30,230 vel_y, Err, -7.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:25:30,278 vel_x, Err, -15.000000, P, -0.015000, I, 0.000000, D, -0.010402, PID, -0.025402
2011-11-23 16:25:30,279 vel_y, Err, -7.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:25:30,380 vel_x, Err, -17.000000, P, -0.017000, I, 0.000000, D, -0.009772, PID, -0.026772
2011-11-23 16:25:30,381 vel_y, Err, -9.000000, P, -0.009000, I, 0.000000, D, -0.019743, PID, -0.028743
2011-11-23 16:25:30,455 vel_x, Err, -19.000000, P, -0.019000, I, 0.000000, D, -0.013341, PID, -0.032341
2011-11-23 16:25:30,456 vel_y, Err, -10.000000, P, -0.010000, I, 0.000000, D, -0.006668, PID, -0.016668
2011-11-23 16:25:30,505 vel_x, Err, -21.000000, P, -0.021000, I, 0.000000, D, -0.020000, PID, -0.041000
2011-11-23 16:25:30,506 vel_y, Err, -11.000000, P, -0.011000, I, 0.000000, D, -0.009992, PID, -0.020992
2011-11-23 16:25:30,527 vel_x, Err, -22.000000, P, -0.022000, I, 0.000000, D, -0.022603, PID, -0.044603
2011-11-23 16:25:30,528 vel_y, Err, -13.000000, P, -0.013000, I, 0.000000, D, -0.045916, PID, -0.058916
