2011-11-23 15:49:00,085 Starting DroneDriver
2011-11-23 15:49:11,866 vel_x, Err, 22.000000, P, 0.022000, I, 0.000000, D, 0.000000, PID, 0.022000
2011-11-23 15:49:11,866 vel_y, Err, -32.000000, P, -0.032000, I, 0.000000, D, 0.000000, PID, -0.032000
2011-11-23 15:49:11,878 vel_x, Err, 20.000000, P, 0.020000, I, 0.000000, D, -0.001600, PID, 0.018400
2011-11-23 15:49:11,879 vel_y, Err, -33.000000, P, -0.033000, I, 0.000000, D, -0.000800, PID, -0.033800
2011-11-23 15:49:11,980 vel_x, Err, 13.000000, P, 0.013000, I, 0.000000, D, -0.005600, PID, 0.007400
2011-11-23 15:49:11,981 vel_y, Err, -36.000000, P, -0.036000, I, 0.000000, D, -0.002400, PID, -0.038400
2011-11-23 15:49:12,053 vel_x, Err, 13.000000, P, 0.013000, I, 0.000000, D, 0.000000, PID, 0.013000
2011-11-23 15:49:12,054 vel_y, Err, -37.000000, P, -0.037000, I, 0.000000, D, -0.000800, PID, -0.037800
2011-11-23 15:49:12,078 vel_x, Err, 14.000000, P, 0.014000, I, 0.000000, D, 0.000800, PID, 0.014800
2011-11-23 15:49:12,078 vel_y, Err, -35.000000, P, -0.035000, I, 0.000000, D, 0.001600, PID, -0.033400
2011-11-23 15:49:12,153 vel_x, Err, 16.000000, P, 0.016000, I, 0.000000, D, 0.001600, PID, 0.017600
2011-11-23 15:49:12,154 vel_y, Err, -33.000000, P, -0.033000, I, 0.000000, D, 0.001600, PID, -0.031400
2011-11-23 15:49:12,178 vel_x, Err, 21.000000, P, 0.021000, I, 0.000000, D, 0.004000, PID, 0.025000
2011-11-23 15:49:12,179 vel_y, Err, -31.000000, P, -0.031000, I, 0.000000, D, 0.001600, PID, -0.029400
2011-11-23 15:49:12,253 vel_x, Err, 25.000000, P, 0.025000, I, 0.000000, D, 0.003200, PID, 0.028200
2011-11-23 15:49:12,254 vel_y, Err, -30.000000, P, -0.030000, I, 0.000000, D, 0.000800, PID, -0.029200
2011-11-23 15:49:12,354 vel_x, Err, 24.000000, P, 0.024000, I, 0.000000, D, -0.000800, PID, 0.023200
2011-11-23 15:49:12,354 vel_y, Err, -32.000000, P, -0.032000, I, 0.000000, D, -0.001600, PID, -0.033600
2011-11-23 15:49:12,379 vel_x, Err, 22.000000, P, 0.022000, I, 0.000000, D, -0.001600, PID, 0.020400
2011-11-23 15:49:12,379 vel_y, Err, -30.000000, P, -0.030000, I, 0.000000, D, 0.001600, PID, -0.028400
2011-11-23 15:49:12,478 vel_x, Err, 25.000000, P, 0.025000, I, 0.000000, D, 0.002400, PID, 0.027400
2011-11-23 15:49:12,478 vel_y, Err, -31.000000, P, -0.031000, I, 0.000000, D, -0.000800, PID, -0.031800
2011-11-23 15:49:12,578 vel_x, Err, 27.000000, P, 0.027000, I, 0.000000, D, 0.001600, PID, 0.028600
2011-11-23 15:49:12,579 vel_y, Err, -33.000000, P, -0.033000, I, 0.000000, D, -0.001600, PID, -0.034600
2011-11-23 15:49:12,678 vel_x, Err, 26.000000, P, 0.026000, I, 0.000000, D, -0.000800, PID, 0.025200
2011-11-23 15:49:12,679 vel_y, Err, -32.000000, P, -0.032000, I, 0.000000, D, 0.000800, PID, -0.031200
2011-11-23 15:49:12,778 vel_x, Err, 26.000000, P, 0.026000, I, 0.000000, D, 0.000000, PID, 0.026000
2011-11-23 15:49:12,779 vel_y, Err, -31.000000, P, -0.031000, I, 0.000000, D, 0.000800, PID, -0.030200
2011-11-23 15:49:12,878 vel_x, Err, 30.000000, P, 0.030000, I, 0.000000, D, 0.003200, PID, 0.033200
2011-11-23 15:49:12,879 vel_y, Err, -31.000000, P, -0.031000, I, 0.000000, D, 0.000000, PID, -0.031000
2011-11-23 15:49:12,978 vel_x, Err, 31.000000, P, 0.031000, I, 0.000000, D, 0.000800, PID, 0.031800
2011-11-23 15:49:12,978 vel_y, Err, -31.000000, P, -0.031000, I, 0.000000, D, 0.000000, PID, -0.031000
2011-11-23 15:49:13,003 vel_x, Err, 31.000000, P, 0.031000, I, 0.000000, D, 0.000000, PID, 0.031000
2011-11-23 15:49:13,004 vel_y, Err, -32.000000, P, -0.032000, I, 0.000000, D, -0.000800, PID, -0.032800
2011-11-23 15:49:13,078 vel_x, Err, 31.000000, P, 0.031000, I, 0.000000, D, 0.000000, PID, 0.031000
2011-11-23 15:49:13,078 vel_y, Err, -32.000000, P, -0.032000, I, 0.000000, D, 0.000000, PID, -0.032000
2011-11-23 15:49:13,100 vel_x, Err, 32.000000, P, 0.032000, I, 0.000000, D, 0.000800, PID, 0.032800
2011-11-23 15:49:13,100 vel_y, Err, -32.000000, P, -0.032000, I, 0.000000, D, 0.000000, PID, -0.032000
2011-11-23 15:49:13,178 vel_x, Err, 33.000000, P, 0.033000, I, 0.000000, D, 0.000800, PID, 0.033800
2011-11-23 15:49:13,178 vel_y, Err, -32.000000, P, -0.032000, I, 0.000000, D, 0.000000, PID, -0.032000
2011-11-23 15:49:13,203 vel_x, Err, 33.000000, P, 0.033000, I, 0.000000, D, 0.000000, PID, 0.033000
2011-11-23 15:49:13,203 vel_y, Err, -31.000000, P, -0.031000, I, 0.000000, D, 0.000800, PID, -0.030200
2011-11-23 15:49:13,278 vel_x, Err, 33.000000, P, 0.033000, I, 0.000000, D, 0.000000, PID, 0.033000
2011-11-23 15:49:13,278 vel_y, Err, -30.000000, P, -0.030000, I, 0.000000, D, 0.000800, PID, -0.029200
2011-11-23 15:49:13,303 vel_x, Err, 33.000000, P, 0.033000, I, 0.000000, D, 0.000000, PID, 0.033000
2011-11-23 15:49:13,303 vel_y, Err, -28.000000, P, -0.028000, I, 0.000000, D, 0.001600, PID, -0.026400
2011-11-23 15:49:13,378 vel_x, Err, 33.000000, P, 0.033000, I, 0.000000, D, 0.000000, PID, 0.033000
2011-11-23 15:49:13,378 vel_y, Err, -26.000000, P, -0.026000, I, 0.000000, D, 0.001600, PID, -0.024400
2011-11-23 15:49:13,478 vel_x, Err, 31.000000, P, 0.031000, I, 0.000000, D, -0.001600, PID, 0.029400
2011-11-23 15:49:13,478 vel_y, Err, -25.000000, P, -0.025000, I, 0.000000, D, 0.000800, PID, -0.024200
2011-11-23 15:49:13,503 vel_x, Err, 33.000000, P, 0.033000, I, 0.000000, D, 0.001600, PID, 0.034600
2011-11-23 15:49:13,504 vel_y, Err, -26.000000, P, -0.026000, I, 0.000000, D, -0.000800, PID, -0.026800
2011-11-23 15:49:13,603 vel_x, Err, 33.000000, P, 0.033000, I, 0.000000, D, 0.000000, PID, 0.033000
