2011-11-23 15:56:45,263 Starting DroneDriver
2011-11-23 15:57:00,952 vel_x, Err, 6.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 15:57:00,953 vel_y, Err, -5.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 15:57:01,027 vel_x, Err, 4.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 15:57:01,028 vel_y, Err, -4.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 15:57:01,428 vel_x, Err, 7.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 15:57:01,452 vel_x, Err, 7.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 15:57:03,477 vel_x, Err, 5.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 15:57:03,503 vel_x, Err, 4.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 15:57:03,603 vel_x, Err, 4.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 15:57:03,703 vel_x, Err, 7.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 15:57:04,503 vel_x, Err, 0.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 15:57:05,853 vel_x, Err, 3.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 15:57:05,928 vel_x, Err, -7.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 15:57:06,453 vel_x, Err, 0.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 15:57:06,553 vel_x, Err, 3.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
