2011-11-23 15:59:08,923 Starting DroneDriver
2011-11-23 15:59:14,764 vel_x, Err, -28.000000, P, -0.028000, I, 0.000000, D, 0.000000, PID, -0.028000
2011-11-23 15:59:14,764 vel_y, Err, 5.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 15:59:15,153 vel_x, Err, -2.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 15:59:15,353 vel_x, Err, -5.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 15:59:15,853 vel_x, Err, -7.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 15:59:15,903 vel_x, Err, -2.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 15:59:15,978 vel_x, Err, 0.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 15:59:16,078 vel_x, Err, 2.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 15:59:16,178 vel_x, Err, 6.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 15:59:16,278 vel_x, Err, 7.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 15:59:21,103 vel_x, Err, 2.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
