2011-11-23 16:14:12,978 Starting DroneDriver
2011-11-23 16:14:13,144 vel_x, Err, -19.000000, P, -0.019000, I, 0.000000, D, 0.000000, PID, -0.019000
2011-11-23 16:14:13,144 vel_y, Err, -56.000000, P, -0.056000, I, 0.000000, D, 0.000000, PID, -0.056000
2011-11-23 16:14:13,206 vel_x, Err, -20.000000, P, -0.020000, I, 0.000000, D, -1.000000, PID, -0.080000
2011-11-23 16:14:13,208 vel_y, Err, -56.000000, P, -0.056000, I, 0.000000, D, 0.000000, PID, -0.056000
2011-11-23 16:14:13,256 vel_x, Err, -20.000000, P, -0.020000, I, 0.000000, D, 0.000000, PID, -0.020000
2011-11-23 16:14:13,256 vel_y, Err, -55.000000, P, -0.055000, I, 0.000000, D, 0.000000, PID, -0.055000
2011-11-23 16:14:13,306 vel_x, Err, -19.000000, P, -0.019000, I, 0.000000, D, 0.000000, PID, -0.019000
2011-11-23 16:14:13,307 vel_y, Err, -56.000000, P, -0.056000, I, 0.000000, D, -1.000000, PID, -0.080000
2011-11-23 16:14:13,431 vel_x, Err, -17.000000, P, -0.017000, I, 0.000000, D, 0.000000, PID, -0.017000
2011-11-23 16:14:13,431 vel_y, Err, -56.000000, P, -0.056000, I, 0.000000, D, 0.000000, PID, -0.056000
2011-11-23 16:14:13,481 vel_x, Err, -16.000000, P, -0.016000, I, 0.000000, D, 0.000000, PID, -0.016000
2011-11-23 16:14:13,481 vel_y, Err, -56.000000, P, -0.056000, I, 0.000000, D, 0.000000, PID, -0.056000
2011-11-23 16:14:13,531 vel_x, Err, -15.000000, P, -0.015000, I, 0.000000, D, 0.000000, PID, -0.015000
2011-11-23 16:14:13,532 vel_y, Err, -55.000000, P, -0.055000, I, 0.000000, D, 0.000000, PID, -0.055000
2011-11-23 16:14:13,581 vel_x, Err, -13.000000, P, -0.013000, I, 0.000000, D, 0.000000, PID, -0.013000
2011-11-23 16:14:13,581 vel_y, Err, -55.000000, P, -0.055000, I, 0.000000, D, 0.000000, PID, -0.055000
2011-11-23 16:14:13,631 vel_x, Err, -12.000000, P, -0.012000, I, 0.000000, D, 0.000000, PID, -0.012000
2011-11-23 16:14:13,632 vel_y, Err, -53.000000, P, -0.053000, I, 0.000000, D, 0.000000, PID, -0.053000
2011-11-23 16:14:13,681 vel_x, Err, -9.000000, P, -0.009000, I, 0.000000, D, 0.000000, PID, -0.009000
2011-11-23 16:14:13,682 vel_y, Err, -51.000000, P, -0.051000, I, 0.000000, D, 0.000000, PID, -0.051000
2011-11-23 16:14:13,731 vel_x, Err, -8.000000, P, -0.008000, I, 0.000000, D, 0.000000, PID, -0.008000
2011-11-23 16:14:13,731 vel_y, Err, -49.000000, P, -0.049000, I, 0.000000, D, 0.000000, PID, -0.049000
2011-11-23 16:14:13,781 vel_x, Err, -8.000000, P, -0.008000, I, 0.000000, D, 0.000000, PID, -0.008000
2011-11-23 16:14:13,782 vel_y, Err, -48.000000, P, -0.048000, I, 0.000000, D, 0.000000, PID, -0.048000
2011-11-23 16:14:13,831 vel_x, Err, -8.000000, P, -0.008000, I, 0.000000, D, 0.000000, PID, -0.008000
2011-11-23 16:14:13,832 vel_y, Err, -48.000000, P, -0.048000, I, 0.000000, D, 0.000000, PID, -0.048000
2011-11-23 16:14:13,906 vel_x, Err, -10.000000, P, -0.010000, I, 0.000000, D, -1.000000, PID, -0.080000
2011-11-23 16:14:13,906 vel_y, Err, -50.000000, P, -0.050000, I, 0.000000, D, -1.000000, PID, -0.080000
2011-11-23 16:14:13,956 vel_x, Err, -11.000000, P, -0.011000, I, 0.000000, D, -1.000000, PID, -0.080000
2011-11-23 16:14:13,957 vel_y, Err, -51.000000, P, -0.051000, I, 0.000000, D, -1.000000, PID, -0.080000
2011-11-23 16:14:14,007 vel_x, Err, -12.000000, P, -0.012000, I, 0.000000, D, -1.000000, PID, -0.080000
2011-11-23 16:14:14,008 vel_y, Err, -52.000000, P, -0.052000, I, 0.000000, D, -1.000000, PID, -0.080000
2011-11-23 16:14:14,053 vel_x, Err, -13.000000, P, -0.013000, I, 0.000000, D, -1.000000, PID, -0.080000
2011-11-23 16:14:14,053 vel_y, Err, -52.000000, P, -0.052000, I, 0.000000, D, 0.000000, PID, -0.052000
2011-11-23 16:14:14,131 vel_x, Err, -14.000000, P, -0.014000, I, 0.000000, D, -1.000000, PID, -0.080000
2011-11-23 16:14:14,132 vel_y, Err, -53.000000, P, -0.053000, I, 0.000000, D, -1.000000, PID, -0.080000
2011-11-23 16:14:14,181 vel_x, Err, -16.000000, P, -0.016000, I, 0.000000, D, -1.000000, PID, -0.080000
2011-11-23 16:14:14,182 vel_y, Err, -55.000000, P, -0.055000, I, 0.000000, D, -1.000000, PID, -0.080000
2011-11-23 16:14:14,231 vel_x, Err, -17.000000, P, -0.017000, I, 0.000000, D, -1.000000, PID, -0.080000
2011-11-23 16:14:14,232 vel_y, Err, -56.000000, P, -0.056000, I, 0.000000, D, -1.000000, PID, -0.080000
2011-11-23 16:14:14,281 vel_x, Err, -18.000000, P, -0.018000, I, 0.000000, D, -1.000000, PID, -0.080000
2011-11-23 16:14:14,282 vel_y, Err, -57.000000, P, -0.057000, I, 0.000000, D, -1.000000, PID, -0.080000
2011-11-23 16:14:14,331 vel_x, Err, -19.000000, P, -0.019000, I, 0.000000, D, -1.000000, PID, -0.080000
2011-11-23 16:14:14,332 vel_y, Err, -58.000000, P, -0.058000, I, 0.000000, D, -1.000000, PID, -0.080000
2011-11-23 16:14:14,381 vel_x, Err, -20.000000, P, -0.020000, I, 0.000000, D, -1.000000, PID, -0.080000
2011-11-23 16:14:14,382 vel_y, Err, -59.000000, P, -0.059000, I, 0.000000, D, -1.000000, PID, -0.080000
2011-11-23 16:14:14,431 vel_x, Err, -20.000000, P, -0.020000, I, 0.000000, D, 0.000000, PID, -0.020000
2011-11-23 16:14:14,432 vel_y, Err, -60.000000, P, -0.060000, I, 0.000000, D, -1.000000, PID, -0.080000
2011-11-23 16:14:14,481 vel_x, Err, -20.000000, P, -0.020000, I, 0.000000, D, 0.000000, PID, -0.020000
2011-11-23 16:14:14,482 vel_y, Err, -60.000000, P, -0.060000, I, 0.000000, D, 0.000000, PID, -0.060000
2011-11-23 16:14:14,556 vel_x, Err, -19.000000, P, -0.019000, I, 0.000000, D, 0.000000, PID, -0.019000
2011-11-23 16:14:14,557 vel_y, Err, -61.000000, P, -0.061000, I, 0.000000, D, -1.000000, PID, -0.080000
2011-11-23 16:14:14,606 vel_x, Err, -19.000000, P, -0.019000, I, 0.000000, D, 0.000000, PID, -0.019000
2011-11-23 16:14:14,606 vel_y, Err, -60.000000, P, -0.060000, I, 0.000000, D, 0.000000, PID, -0.060000
2011-11-23 16:14:14,656 vel_x, Err, -18.000000, P, -0.018000, I, 0.000000, D, 0.000000, PID, -0.018000
2011-11-23 16:14:14,656 vel_y, Err, -60.000000, P, -0.060000, I, 0.000000, D, 0.000000, PID, -0.060000
2011-11-23 16:14:14,706 vel_x, Err, -16.000000, P, -0.016000, I, 0.000000, D, 0.000000, PID, -0.016000
2011-11-23 16:14:14,706 vel_y, Err, -59.000000, P, -0.059000, I, 0.000000, D, 0.000000, PID, -0.059000
2011-11-23 16:14:14,756 vel_x, Err, -15.000000, P, -0.015000, I, 0.000000, D, 0.000000, PID, -0.015000
2011-11-23 16:14:14,756 vel_y, Err, -56.000000, P, -0.056000, I, 0.000000, D, 0.000000, PID, -0.056000
2011-11-23 16:14:14,806 vel_x, Err, -13.000000, P, -0.013000, I, 0.000000, D, 0.000000, PID, -0.013000
2011-11-23 16:14:14,806 vel_y, Err, -53.000000, P, -0.053000, I, 0.000000, D, 0.000000, PID, -0.053000
2011-11-23 16:14:14,881 vel_x, Err, -10.000000, P, -0.010000, I, 0.000000, D, 0.000000, PID, -0.010000
2011-11-23 16:14:14,882 vel_y, Err, -53.000000, P, -0.053000, I, 0.000000, D, 0.000000, PID, -0.053000
2011-11-23 16:14:14,931 vel_x, Err, -9.000000, P, -0.009000, I, 0.000000, D, 0.000000, PID, -0.009000
2011-11-23 16:14:14,932 vel_y, Err, -53.000000, P, -0.053000, I, 0.000000, D, 0.000000, PID, -0.053000
2011-11-23 16:14:14,956 vel_x, Err, -8.000000, P, -0.008000, I, 0.000000, D, 0.000000, PID, -0.008000
2011-11-23 16:14:14,956 vel_y, Err, -54.000000, P, -0.054000, I, 0.000000, D, -1.000000, PID, -0.080000
2011-11-23 16:14:15,031 vel_x, Err, -8.000000, P, -0.008000, I, 0.000000, D, 0.000000, PID, -0.008000
2011-11-23 16:14:15,032 vel_y, Err, -54.000000, P, -0.054000, I, 0.000000, D, 0.000000, PID, -0.054000
