2011-11-23 16:19:07,032 Starting DroneDriver
2011-11-23 16:19:15,245 vel_x, Err, -23.000000, P, -0.023000, I, 0.000000, D, 0.000000, PID, -0.023000
2011-11-23 16:19:15,245 vel_y, Err, 60.000000, P, 0.060000, I, 0.000000, D, 0.000000, PID, 0.060000
2011-11-23 16:19:15,281 vel_x, Err, -16.000000, P, -0.016000, I, 0.000000, D, 0.000019, PID, -0.015981
2011-11-23 16:19:15,281 vel_y, Err, 44.000000, P, 0.044000, I, 0.000000, D, -0.000044, PID, 0.043956
2011-11-23 16:19:15,304 vel_x, Err, -11.000000, P, -0.011000, I, 0.000000, D, 0.000022, PID, -0.010978
2011-11-23 16:19:15,304 vel_y, Err, 49.000000, P, 0.049000, I, 0.000000, D, 0.000022, PID, 0.049022
2011-11-23 16:19:15,329 vel_x, Err, -8.000000, P, -0.008000, I, 0.000000, D, 0.000012, PID, -0.007988
2011-11-23 16:19:15,329 vel_y, Err, 50.000000, P, 0.050000, I, 0.000000, D, 0.000004, PID, 0.050004
2011-11-23 16:19:15,432 vel_x, Err, -8.000000, P, -0.008000, I, 0.000000, D, 0.000000, PID, -0.008000
2011-11-23 16:19:15,434 vel_y, Err, 40.000000, P, 0.040000, I, 0.000000, D, -0.000010, PID, 0.039990
2011-11-23 16:19:15,681 vel_x, Err, -9.000000, P, -0.009000, I, 0.000000, D, -0.000000, PID, -0.009000
2011-11-23 16:19:15,681 vel_y, Err, 31.000000, P, 0.031000, I, 0.000000, D, -0.000004, PID, 0.030996
2011-11-23 16:19:15,831 vel_x, Err, -9.000000, P, -0.009000, I, 0.000000, D, 0.000000, PID, -0.009000
2011-11-23 16:19:15,831 vel_y, Err, 26.000000, P, 0.026000, I, 0.000000, D, -0.000003, PID, 0.025997
2011-11-23 16:19:16,130 vel_x, Err, -11.000000, P, -0.011000, I, 0.000000, D, -0.000001, PID, -0.011001
2011-11-23 16:19:16,131 vel_y, Err, 17.000000, P, 0.017000, I, 0.000000, D, -0.000003, PID, 0.016997
2011-11-23 16:19:16,305 vel_x, Err, -12.000000, P, -0.012000, I, 0.000000, D, -0.000001, PID, -0.012001
2011-11-23 16:19:16,305 vel_y, Err, 10.000000, P, 0.010000, I, 0.000000, D, -0.000004, PID, 0.009996
2011-11-23 16:19:16,380 vel_x, Err, -11.000000, P, -0.011000, I, 0.000000, D, 0.000001, PID, -0.010999
