2011-11-23 16:29:13,640 Starting DroneDriver
2011-11-23 16:29:13,796 vel_x, Err, -50.000000, P, -0.100000, I, 0.000000, D, 0.000000, PID, -0.100000
2011-11-23 16:29:13,797 vel_y, Err, 24.000000, P, 0.048000, I, 0.000000, D, 0.000000, PID, 0.048000
2011-11-23 16:29:13,856 vel_x, Err, -51.000000, P, -0.102000, I, 0.000000, D, -0.006740, PID, -0.100000
2011-11-23 16:29:13,856 vel_y, Err, 19.000000, P, 0.038000, I, 0.000000, D, -0.033669, PID, 0.004331
2011-11-23 16:29:13,906 vel_x, Err, -52.000000, P, -0.104000, I, 0.000000, D, -0.007984, PID, -0.100000
2011-11-23 16:29:13,907 vel_y, Err, 17.000000, P, 0.034000, I, 0.000000, D, -0.015906, PID, 0.018094
2011-11-23 16:29:13,956 vel_x, Err, -53.000000, P, -0.106000, I, 0.000000, D, -0.008029, PID, -0.100000
2011-11-23 16:29:13,956 vel_y, Err, 16.000000, P, 0.032000, I, 0.000000, D, -0.008052, PID, 0.023948
2011-11-23 16:29:14,006 vel_x, Err, -53.000000, P, -0.106000, I, 0.000000, D, 0.000000, PID, -0.100000
2011-11-23 16:29:14,007 vel_y, Err, 15.000000, P, 0.030000, I, 0.000000, D, -0.007937, PID, 0.022063
2011-11-23 16:29:14,081 vel_x, Err, -51.000000, P, -0.102000, I, 0.000000, D, 0.010706, PID, -0.091294
2011-11-23 16:29:14,081 vel_y, Err, 14.000000, P, 0.028000, I, 0.000000, D, -0.005358, PID, 0.022642
2011-11-23 16:29:14,131 vel_x, Err, -50.000000, P, -0.100000, I, 0.000000, D, 0.008022, PID, -0.091978
2011-11-23 16:29:14,131 vel_y, Err, 14.000000, P, 0.028000, I, 0.000000, D, 0.000000, PID, 0.028000
2011-11-23 16:29:14,181 vel_x, Err, -51.000000, P, -0.102000, I, 0.000000, D, -0.008004, PID, -0.100000
2011-11-23 16:29:14,181 vel_y, Err, 12.000000, P, 0.024000, I, 0.000000, D, -0.015985, PID, 0.008015
2011-11-23 16:29:14,231 vel_x, Err, -52.000000, P, -0.104000, I, 0.000000, D, -0.008000, PID, -0.100000
2011-11-23 16:29:14,231 vel_y, Err, 10.000000, P, 0.020000, I, 0.000000, D, -0.016015, PID, 0.003985
2011-11-23 16:29:14,331 vel_x, Err, -50.000000, P, -0.100000, I, 0.000000, D, 0.008012, PID, -0.091988
2011-11-23 16:29:14,331 vel_y, Err, 5.000000, P, 0.010000, I, 0.000000, D, -0.020013, PID, -0.010013
2011-11-23 16:29:14,381 vel_x, Err, -48.000000, P, -0.096000, I, 0.000000, D, 0.015989, PID, -0.080011
2011-11-23 16:29:14,381 vel_y, Err, 2.000000, P, 0.004000, I, 0.000000, D, -0.023947, PID, -0.019947
2011-11-23 16:29:14,431 vel_x, Err, -44.000000, P, -0.088000, I, 0.000000, D, 0.032028, PID, -0.055972
2011-11-23 16:29:14,431 vel_y, Err, 0.000000, P, 0.000000, I, 0.000000, D, -0.016049, PID, -0.016049
2011-11-23 16:29:14,481 vel_x, Err, -38.000000, P, -0.076000, I, 0.000000, D, 0.047899, PID, -0.028101
2011-11-23 16:29:14,481 vel_y, Err, -1.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:29:14,556 vel_x, Err, -29.000000, P, -0.058000, I, 0.000000, D, 0.048147, PID, -0.009853
2011-11-23 16:29:14,556 vel_y, Err, -4.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:29:14,606 vel_x, Err, -20.000000, P, -0.040000, I, 0.000000, D, 0.072224, PID, 0.032224
2011-11-23 16:29:14,606 vel_y, Err, -6.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:29:14,656 vel_x, Err, -11.000000, P, -0.022000, I, 0.000000, D, 0.071593, PID, 0.049593
2011-11-23 16:29:14,657 vel_y, Err, -7.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:29:14,706 vel_x, Err, -2.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:29:14,706 vel_y, Err, -7.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:29:14,781 vel_x, Err, 11.000000, P, 0.022000, I, 0.000000, D, 0.070348, PID, 0.092348
2011-11-23 16:29:14,782 vel_y, Err, -8.000000, P, -0.016000, I, 0.000000, D, -0.009135, PID, -0.025135
2011-11-23 16:29:14,831 vel_x, Err, 21.000000, P, 0.042000, I, 0.000000, D, 0.080271, PID, 0.100000
2011-11-23 16:29:14,832 vel_y, Err, -9.000000, P, -0.018000, I, 0.000000, D, -0.007994, PID, -0.025994
2011-11-23 16:29:14,881 vel_x, Err, 31.000000, P, 0.062000, I, 0.000000, D, 0.080313, PID, 0.100000
2011-11-23 16:29:14,881 vel_y, Err, -11.000000, P, -0.022000, I, 0.000000, D, -0.016079, PID, -0.038079
2011-11-23 16:29:14,931 vel_x, Err, 39.000000, P, 0.078000, I, 0.000000, D, 0.064153, PID, 0.100000
2011-11-23 16:29:14,931 vel_y, Err, -12.000000, P, -0.024000, I, 0.000000, D, -0.008039, PID, -0.032039
2011-11-23 16:29:14,981 vel_x, Err, 51.000000, P, 0.102000, I, 0.000000, D, 0.095579, PID, 0.100000
2011-11-23 16:29:14,981 vel_y, Err, -14.000000, P, -0.028000, I, 0.000000, D, -0.015921, PID, -0.043921
2011-11-23 16:29:15,031 vel_x, Err, 60.000000, P, 0.120000, I, 0.000000, D, 0.071578, PID, 0.100000
2011-11-23 16:29:15,032 vel_y, Err, -16.000000, P, -0.032000, I, 0.000000, D, -0.015895, PID, -0.047895
2011-11-23 16:29:15,081 vel_x, Err, 60.000000, P, 0.120000, I, 0.000000, D, 0.000000, PID, 0.100000
2011-11-23 16:29:15,081 vel_y, Err, -16.000000, P, -0.032000, I, 0.000000, D, 0.000000, PID, -0.032000
2011-11-23 16:29:15,131 vel_x, Err, 60.000000, P, 0.120000, I, 0.000000, D, 0.000000, PID, 0.100000
2011-11-23 16:29:15,131 vel_y, Err, -16.000000, P, -0.032000, I, 0.000000, D, 0.000000, PID, -0.032000
2011-11-23 16:29:15,831 vel_x, Err, 52.000000, P, 0.104000, I, 0.000000, D, 0.000000, PID, 0.100000
2011-11-23 16:29:15,832 vel_y, Err, -17.000000, P, -0.034000, I, 0.000000, D, 0.000000, PID, -0.034000
2011-11-23 16:29:15,906 vel_x, Err, 52.000000, P, 0.104000, I, 0.000000, D, 0.000000, PID, 0.100000
2011-11-23 16:29:15,906 vel_y, Err, -17.000000, P, -0.034000, I, 0.000000, D, 0.000000, PID, -0.034000
2011-11-23 16:29:15,956 vel_x, Err, 0.000000, P, 0.000000, I, 0.000000, D, -0.416391, PID, -0.100000
2011-11-23 16:29:15,956 vel_y, Err, -14.000000, P, -0.028000, I, 0.000000, D, 0.024014, PID, -0.003986
2011-11-23 16:29:16,131 vel_x, Err, -7.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:29:16,131 vel_y, Err, -18.000000, P, -0.036000, I, 0.000000, D, -0.009130, PID, -0.045130
2011-11-23 16:29:16,181 vel_x, Err, -10.000000, P, -0.020000, I, 0.000000, D, -0.017763, PID, -0.037763
2011-11-23 16:29:16,181 vel_y, Err, -20.000000, P, -0.040000, I, 0.000000, D, -0.016010, PID, -0.056010
2011-11-23 16:29:16,205 vel_x, Err, -15.000000, P, -0.030000, I, 0.000000, D, -0.082833, PID, -0.100000
2011-11-23 16:29:16,206 vel_y, Err, -23.000000, P, -0.046000, I, 0.000000, D, -0.049344, PID, -0.095344
2011-11-23 16:29:16,256 vel_x, Err, -19.000000, P, -0.038000, I, 0.000000, D, -0.031511, PID, -0.069511
2011-11-23 16:29:16,256 vel_y, Err, -26.000000, P, -0.052000, I, 0.000000, D, -0.023695, PID, -0.075695
2011-11-23 16:29:16,331 vel_x, Err, -20.000000, P, -0.040000, I, 0.000000, D, -0.005341, PID, -0.045341
2011-11-23 16:29:16,331 vel_y, Err, -32.000000, P, -0.064000, I, 0.000000, D, -0.032006, PID, -0.096006
2011-11-23 16:29:16,381 vel_x, Err, -22.000000, P, -0.044000, I, 0.000000, D, -0.015920, PID, -0.059920
2011-11-23 16:29:16,382 vel_y, Err, -39.000000, P, -0.078000, I, 0.000000, D, -0.055529, PID, -0.100000
2011-11-23 16:29:16,431 vel_x, Err, -22.000000, P, -0.044000, I, 0.000000, D, 0.000000, PID, -0.044000
2011-11-23 16:29:16,431 vel_y, Err, -45.000000, P, -0.090000, I, 0.000000, D, -0.048740, PID, -0.100000
