Starting DroneDriver
ToggleCam 0
vel_y, Err, -40.000000, P, -0.050000, I, 0.000000, D, -0.007500, PID, -0.057500
vel_x, Err, -42.000000, P, -0.042000, I, 0.000000, D, 0.006000, PID, -0.036000
vel_y, Err, -45.000000, P, -0.056250, I, 0.000000, D, -0.006250, PID, -0.062500
vel_x, Err, -37.000000, P, -0.037000, I, 0.000000, D, 0.005000, PID, -0.032000
vel_y, Err, -49.000000, P, -0.061250, I, 0.000000, D, -0.005000, PID, -0.066250
vel_x, Err, -27.000000, P, -0.027000, I, 0.000000, D, 0.010000, PID, -0.017000
vel_y, Err, -62.000000, P, -0.077500, I, 0.000000, D, -0.016250, PID, -0.093750
vel_x, Err, -21.000000, P, -0.021000, I, 0.000000, D, 0.006000, PID, -0.015000
vel_y, Err, -68.000000, P, -0.085000, I, 0.000000, D, -0.007500, PID, -0.092500
vel_x, Err, -21.000000, P, -0.021000, I, 0.000000, D, 0.000000, PID, -0.021000
vel_y, Err, -68.000000, P, -0.085000, I, 0.000000, D, 0.000000, PID, -0.085000
vel_x, Err, -21.000000, P, -0.021000, I, 0.000000, D, 0.000000, PID, -0.021000
vel_y, Err, -68.000000, P, -0.085000, I, 0.000000, D, 0.000000, PID, -0.085000
vel_x, Err, -59.000000, P, -0.059000, I, 0.000000, D, 0.000000, PID, -0.059000
vel_y, Err, 50.000000, P, 0.062500, I, 0.000000, D, 0.000000, PID, 0.062500
vel_x, Err, -43.000000, P, -0.043000, I, 0.000000, D, 0.016000, PID, -0.027000
vel_y, Err, 49.000000, P, 0.061250, I, 0.000000, D, -0.001250, PID, 0.060000
vel_x, Err, -31.000000, P, -0.031000, I, 0.000000, D, 0.012000, PID, -0.019000
vel_y, Err, 48.000000, P, 0.060000, I, 0.000000, D, -0.001250, PID, 0.058750
vel_x, Err, -16.000000, P, -0.016000, I, 0.000000, D, 0.015000, PID, -0.001000
vel_y, Err, 45.000000, P, 0.056250, I, 0.000000, D, -0.003750, PID, 0.052500
vel_x, Err, 3.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
vel_y, Err, 36.000000, P, 0.045000, I, 0.000000, D, -0.011250, PID, 0.033750
vel_x, Err, 1.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
vel_y, Err, 28.000000, P, 0.035000, I, 0.000000, D, -0.010000, PID, 0.025000
vel_x, Err, -4.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
vel_y, Err, 24.000000, P, 0.030000, I, 0.000000, D, -0.005000, PID, 0.025000
vel_x, Err, -7.000000, P, -0.007000, I, 0.000000, D, 0.009000, PID, 0.002000
vel_y, Err, 22.000000, P, 0.027500, I, 0.000000, D, -0.002500, PID, 0.025000
vel_x, Err, -12.000000, P, -0.012000, I, 0.000000, D, -0.005000, PID, -0.017000
vel_y, Err, 19.000000, P, 0.023750, I, 0.000000, D, -0.003750, PID, 0.020000
vel_x, Err, -15.000000, P, -0.015000, I, 0.000000, D, -0.003000, PID, -0.018000
vel_y, Err, 19.000000, P, 0.023750, I, 0.000000, D, 0.000000, PID, 0.023750
vel_x, Err, -17.000000, P, -0.017000, I, 0.000000, D, -0.002000, PID, -0.019000
vel_y, Err, 4.000000, P, 0.005000, I, 0.000000, D, -0.018750, PID, -0.013750
vel_x, Err, -16.000000, P, -0.016000, I, 0.000000, D, 0.001000, PID, -0.015000
vel_y, Err, -1.000000, P, -0.001250, I, 0.000000, D, -0.006250, PID, -0.007500
vel_x, Err, -1.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
vel_y, Err, -3.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
vel_x, Err, 4.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
vel_y, Err, 5.000000, P, 0.006250, I, 0.000000, D, 0.007500, PID, 0.013750
vel_x, Err, 5.000000, P, 0.005000, I, 0.000000, D, 0.021000, PID, 0.026000
vel_y, Err, 8.000000, P, 0.010000, I, 0.000000, D, 0.003750, PID, 0.013750
vel_x, Err, 4.000000, P, 0.004000, I, 0.000000, D, -0.001000, PID, 0.003000
vel_y, Err, 8.000000, P, 0.010000, I, 0.000000, D, 0.000000, PID, 0.010000
vel_x, Err, 3.000000, P, 0.003000, I, 0.000000, D, -0.001000, PID, 0.002000
vel_y, Err, 9.000000, P, 0.011250, I, 0.000000, D, 0.001250, PID, 0.012500
vel_x, Err, 4.000000, P, 0.004000, I, 0.000000, D, 0.001000, PID, 0.005000
vel_y, Err, 8.000000, P, 0.010000, I, 0.000000, D, -0.001250, PID, 0.008750
