2011-11-23 16:30:08,575 Starting DroneDriver
2011-11-23 16:30:08,825 vel_x, Err, 35.000000, P, 0.052500, I, 0.000000, D, 0.000000, PID, 0.052500
2011-11-23 16:30:08,826 vel_y, Err, 69.000000, P, 0.103500, I, 0.000000, D, 0.000000, PID, 0.100000
2011-11-23 16:30:08,856 vel_x, Err, 37.000000, P, 0.055500, I, 0.000000, D, 0.032592, PID, 0.088092
2011-11-23 16:30:08,856 vel_y, Err, 70.000000, P, 0.105000, I, 0.000000, D, 0.016199, PID, 0.100000
2011-11-23 16:30:08,906 vel_x, Err, 39.000000, P, 0.058500, I, 0.000000, D, 0.020050, PID, 0.078550
2011-11-23 16:30:08,906 vel_y, Err, 69.000000, P, 0.103500, I, 0.000000, D, -0.010043, PID, 0.093457
2011-11-23 16:30:08,956 vel_x, Err, 43.000000, P, 0.064500, I, 0.000000, D, 0.039941, PID, 0.100000
2011-11-23 16:30:08,956 vel_y, Err, 69.000000, P, 0.103500, I, 0.000000, D, 0.000000, PID, 0.100000
2011-11-23 16:30:09,006 vel_x, Err, 46.000000, P, 0.069000, I, 0.000000, D, 0.030017, PID, 0.099017
2011-11-23 16:30:09,006 vel_y, Err, 68.000000, P, 0.102000, I, 0.000000, D, -0.009998, PID, 0.092002
2011-11-23 16:30:09,081 vel_x, Err, 51.000000, P, 0.076500, I, 0.000000, D, 0.033261, PID, 0.100000
2011-11-23 16:30:09,082 vel_y, Err, 65.000000, P, 0.097500, I, 0.000000, D, -0.019792, PID, 0.077708
2011-11-23 16:30:09,131 vel_x, Err, 53.000000, P, 0.079500, I, 0.000000, D, 0.020111, PID, 0.099611
2011-11-23 16:30:09,131 vel_y, Err, 63.000000, P, 0.094500, I, 0.000000, D, -0.020348, PID, 0.074152
2011-11-23 16:30:09,181 vel_x, Err, 56.000000, P, 0.084000, I, 0.000000, D, 0.029916, PID, 0.100000
2011-11-23 16:30:09,181 vel_y, Err, 64.000000, P, 0.096000, I, 0.000000, D, 0.009971, PID, 0.100000
2011-11-23 16:30:09,231 vel_x, Err, 60.000000, P, 0.090000, I, 0.000000, D, 0.039823, PID, 0.100000
2011-11-23 16:30:09,232 vel_y, Err, 66.000000, P, 0.099000, I, 0.000000, D, 0.019897, PID, 0.100000
2011-11-23 16:30:09,305 vel_x, Err, 60.000000, P, 0.090000, I, 0.000000, D, 0.000000, PID, 0.090000
2011-11-23 16:30:09,305 vel_y, Err, 66.000000, P, 0.099000, I, 0.000000, D, 0.000000, PID, 0.099000
2011-11-23 16:30:09,356 vel_x, Err, 60.000000, P, 0.090000, I, 0.000000, D, 0.000000, PID, 0.090000
2011-11-23 16:30:09,356 vel_y, Err, 66.000000, P, 0.099000, I, 0.000000, D, 0.000000, PID, 0.099000
2011-11-23 16:30:09,656 vel_x, Err, 60.000000, P, 0.090000, I, 0.000000, D, 0.000000, PID, 0.090000
2011-11-23 16:30:09,657 vel_y, Err, 73.000000, P, 0.109500, I, 0.000000, D, 0.000000, PID, 0.100000
2011-11-23 16:30:09,706 vel_x, Err, 55.000000, P, 0.082500, I, 0.000000, D, -0.050291, PID, 0.032209
2011-11-23 16:30:09,707 vel_y, Err, 67.000000, P, 0.100500, I, 0.000000, D, -0.060335, PID, 0.040165
2011-11-23 16:30:09,781 vel_x, Err, 52.000000, P, 0.078000, I, 0.000000, D, -0.020094, PID, 0.057906
2011-11-23 16:30:09,782 vel_y, Err, 59.000000, P, 0.088500, I, 0.000000, D, -0.053517, PID, 0.034983
2011-11-23 16:30:09,831 vel_x, Err, 52.000000, P, 0.078000, I, 0.000000, D, 0.000000, PID, 0.078000
2011-11-23 16:30:09,832 vel_y, Err, 55.000000, P, 0.082500, I, 0.000000, D, -0.039899, PID, 0.042601
2011-11-23 16:30:09,881 vel_x, Err, 54.000000, P, 0.081000, I, 0.000000, D, 0.020023, PID, 0.100000
2011-11-23 16:30:09,882 vel_y, Err, 51.000000, P, 0.076500, I, 0.000000, D, -0.039962, PID, 0.036538
2011-11-23 16:30:10,006 vel_x, Err, 60.000000, P, 0.090000, I, 0.000000, D, 0.024106, PID, 0.100000
2011-11-23 16:30:10,006 vel_y, Err, 44.000000, P, 0.066000, I, 0.000000, D, -0.028236, PID, 0.037764
2011-11-23 16:30:10,029 vel_x, Err, 60.000000, P, 0.090000, I, 0.000000, D, 0.000000, PID, 0.090000
2011-11-23 16:30:10,029 vel_y, Err, 44.000000, P, 0.066000, I, 0.000000, D, 0.000000, PID, 0.066000
2011-11-23 16:30:10,081 vel_x, Err, 60.000000, P, 0.090000, I, 0.000000, D, 0.000000, PID, 0.090000
2011-11-23 16:30:10,082 vel_y, Err, 44.000000, P, 0.066000, I, 0.000000, D, 0.000000, PID, 0.066000
2011-11-23 16:30:10,481 vel_x, Err, 59.000000, P, 0.088500, I, 0.000000, D, 0.000000, PID, 0.088500
2011-11-23 16:30:10,481 vel_y, Err, 19.000000, P, 0.028500, I, 0.000000, D, 0.000000, PID, 0.028500
2011-11-23 16:30:10,531 vel_x, Err, 52.000000, P, 0.078000, I, 0.000000, D, -0.069846, PID, 0.008154
2011-11-23 16:30:10,531 vel_y, Err, 15.000000, P, 0.022500, I, 0.000000, D, -0.039881, PID, -0.017381
2011-11-23 16:30:10,581 vel_x, Err, 45.000000, P, 0.067500, I, 0.000000, D, -0.069727, PID, -0.002227
2011-11-23 16:30:10,582 vel_y, Err, 12.000000, P, 0.018000, I, 0.000000, D, -0.029756, PID, -0.011756
2011-11-23 16:30:10,631 vel_x, Err, 39.000000, P, 0.058500, I, 0.000000, D, -0.060158, PID, -0.001658
2011-11-23 16:30:10,632 vel_y, Err, 8.000000, P, 0.012000, I, 0.000000, D, -0.040083, PID, -0.028083
2011-11-23 16:30:10,781 vel_x, Err, 33.000000, P, 0.049500, I, 0.000000, D, -0.020034, PID, 0.029466
2011-11-23 16:30:10,781 vel_y, Err, 4.000000, P, 0.006000, I, 0.000000, D, -0.013348, PID, -0.007348
2011-11-23 16:30:10,856 vel_x, Err, 32.000000, P, 0.048000, I, 0.000000, D, -0.006661, PID, 0.041339
2011-11-23 16:30:10,856 vel_y, Err, 4.000000, P, 0.006000, I, 0.000000, D, 0.000000, PID, 0.006000
2011-11-23 16:30:10,906 vel_x, Err, 32.000000, P, 0.048000, I, 0.000000, D, 0.000000, PID, 0.048000
2011-11-23 16:30:10,906 vel_y, Err, 5.000000, P, 0.007500, I, 0.000000, D, 0.010009, PID, 0.017509
2011-11-23 16:30:10,956 vel_x, Err, 31.000000, P, 0.046500, I, 0.000000, D, -0.010038, PID, 0.036462
2011-11-23 16:30:10,956 vel_y, Err, 6.000000, P, 0.009000, I, 0.000000, D, 0.010077, PID, 0.019077
2011-11-23 16:30:11,006 vel_x, Err, 31.000000, P, 0.046500, I, 0.000000, D, 0.000000, PID, 0.046500
2011-11-23 16:30:11,006 vel_y, Err, 9.000000, P, 0.013500, I, 0.000000, D, 0.029792, PID, 0.043292
2011-11-23 16:30:11,056 vel_x, Err, 30.000000, P, 0.045000, I, 0.000000, D, -0.009940, PID, 0.035060
2011-11-23 16:30:11,057 vel_y, Err, 13.000000, P, 0.019500, I, 0.000000, D, 0.039719, PID, 0.059219
2011-11-23 16:30:11,131 vel_x, Err, 27.000000, P, 0.040500, I, 0.000000, D, -0.020147, PID, 0.020353
2011-11-23 16:30:11,131 vel_y, Err, 18.000000, P, 0.027000, I, 0.000000, D, 0.033683, PID, 0.060683
2011-11-23 16:30:11,181 vel_x, Err, 23.000000, P, 0.034500, I, 0.000000, D, -0.040103, PID, -0.005603
2011-11-23 16:30:11,181 vel_y, Err, 20.000000, P, 0.030000, I, 0.000000, D, 0.020032, PID, 0.050032
2011-11-23 16:30:11,231 vel_x, Err, 18.000000, P, 0.027000, I, 0.000000, D, -0.049727, PID, -0.022727
2011-11-23 16:30:11,232 vel_y, Err, 21.000000, P, 0.031500, I, 0.000000, D, 0.009904, PID, 0.041404
2011-11-23 16:30:11,281 vel_x, Err, 13.000000, P, 0.019500, I, 0.000000, D, -0.050191, PID, -0.030691
2011-11-23 16:30:11,281 vel_y, Err, 22.000000, P, 0.033000, I, 0.000000, D, 0.010026, PID, 0.043026
2011-11-23 16:30:11,331 vel_x, Err, 4.000000, P, 0.006000, I, 0.000000, D, -0.089731, PID, -0.083731
2011-11-23 16:30:11,332 vel_y, Err, 21.000000, P, 0.031500, I, 0.000000, D, -0.009972, PID, 0.021528
2011-11-23 16:30:11,381 vel_x, Err, -4.000000, P, -0.006000, I, 0.000000, D, -0.080509, PID, -0.086509
2011-11-23 16:30:11,381 vel_y, Err, 19.000000, P, 0.028500, I, 0.000000, D, -0.020095, PID, 0.008405
2011-11-23 16:30:11,431 vel_x, Err, -12.000000, P, -0.018000, I, 0.000000, D, -0.079583, PID, -0.097583
2011-11-23 16:30:11,432 vel_y, Err, 17.000000, P, 0.025500, I, 0.000000, D, -0.019910, PID, 0.005590
2011-11-23 16:30:11,480 vel_x, Err, -21.000000, P, -0.031500, I, 0.000000, D, -0.091134, PID, -0.100000
2011-11-23 16:30:11,481 vel_y, Err, 15.000000, P, 0.022500, I, 0.000000, D, -0.020334, PID, 0.002166
2011-11-23 16:30:11,556 vel_x, Err, -33.000000, P, -0.049500, I, 0.000000, D, -0.079744, PID, -0.100000
2011-11-23 16:30:11,556 vel_y, Err, 11.000000, P, 0.016500, I, 0.000000, D, -0.026570, PID, -0.010070
2011-11-23 16:30:11,606 vel_x, Err, -41.000000, P, -0.061500, I, 0.000000, D, -0.079646, PID, -0.100000
2011-11-23 16:30:11,607 vel_y, Err, 7.000000, P, 0.010500, I, 0.000000, D, -0.039640, PID, -0.029140
2011-11-23 16:30:11,656 vel_x, Err, -47.000000, P, -0.070500, I, 0.000000, D, -0.060060, PID, -0.100000
2011-11-23 16:30:11,657 vel_y, Err, 3.000000, P, 0.004500, I, 0.000000, D, -0.040015, PID, -0.035515
2011-11-23 16:30:11,706 vel_x, Err, -51.000000, P, -0.076500, I, 0.000000, D, -0.039954, PID, -0.100000
2011-11-23 16:30:11,707 vel_y, Err, 1.000000, P, 0.001500, I, 0.000000, D, -0.019966, PID, -0.018466
2011-11-23 16:30:11,756 vel_x, Err, -54.000000, P, -0.081000, I, 0.000000, D, -0.030084, PID, -0.100000
2011-11-23 16:30:11,757 vel_y, Err, -1.000000, P, -0.001500, I, 0.000000, D, -0.020055, PID, -0.021555
2011-11-23 16:30:11,831 vel_x, Err, -57.000000, P, -0.085500, I, 0.000000, D, -0.019984, PID, -0.100000
2011-11-23 16:30:11,832 vel_y, Err, -4.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:30:11,881 vel_x, Err, -58.000000, P, -0.087000, I, 0.000000, D, -0.010021, PID, -0.097021
2011-11-23 16:30:11,882 vel_y, Err, -6.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:30:11,931 vel_x, Err, -58.000000, P, -0.087000, I, 0.000000, D, 0.000000, PID, -0.087000
2011-11-23 16:30:11,931 vel_y, Err, -7.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:30:11,981 vel_x, Err, -57.000000, P, -0.085500, I, 0.000000, D, 0.009970, PID, -0.075530
2011-11-23 16:30:11,982 vel_y, Err, -9.000000, P, -0.013500, I, 0.000000, D, -0.017766, PID, -0.031266
2011-11-23 16:30:12,031 vel_x, Err, -57.000000, P, -0.085500, I, 0.000000, D, 0.000000, PID, -0.085500
2011-11-23 16:30:12,032 vel_y, Err, -11.000000, P, -0.016500, I, 0.000000, D, -0.019974, PID, -0.036474
2011-11-23 16:30:12,081 vel_x, Err, -55.000000, P, -0.082500, I, 0.000000, D, 0.020133, PID, -0.062367
2011-11-23 16:30:12,082 vel_y, Err, -12.000000, P, -0.018000, I, 0.000000, D, -0.010057, PID, -0.028057
2011-11-23 16:30:12,131 vel_x, Err, -53.000000, P, -0.079500, I, 0.000000, D, 0.019946, PID, -0.059554
2011-11-23 16:30:12,132 vel_y, Err, -15.000000, P, -0.022500, I, 0.000000, D, -0.029920, PID, -0.052420
2011-11-23 16:30:12,181 vel_x, Err, -51.000000, P, -0.076500, I, 0.000000, D, 0.020038, PID, -0.056462
2011-11-23 16:30:12,182 vel_y, Err, -19.000000, P, -0.028500, I, 0.000000, D, -0.040055, PID, -0.068555
