2011-11-23 16:32:30,787 Starting DroneDriver
2011-11-23 16:32:31,941 vel_x, Err, -30.000000, P, -0.090000, I, 0.000000, D, 0.000000, PID, -0.090000
2011-11-23 16:32:31,941 vel_y, Err, -70.000000, P, -0.210000, I, 0.000000, D, 0.000000, PID, -0.100000
2011-11-23 16:32:31,981 vel_x, Err, -27.000000, P, -0.081000, I, 0.000000, D, 0.074610, PID, -0.006390
2011-11-23 16:32:31,981 vel_y, Err, -68.000000, P, -0.204000, I, 0.000000, D, 0.049723, PID, -0.100000
2011-11-23 16:32:32,038 vel_x, Err, -23.000000, P, -0.069000, I, 0.000000, D, 0.069991, PID, 0.000991
2011-11-23 16:32:32,039 vel_y, Err, -66.000000, P, -0.198000, I, 0.000000, D, 0.034973, PID, -0.100000
2011-11-23 16:32:32,081 vel_x, Err, -19.000000, P, -0.057000, I, 0.000000, D, 0.093782, PID, 0.036782
2011-11-23 16:32:32,081 vel_y, Err, -67.000000, P, -0.201000, I, 0.000000, D, -0.023439, PID, -0.100000
2011-11-23 16:32:32,131 vel_x, Err, -19.000000, P, -0.057000, I, 0.000000, D, 0.000000, PID, -0.057000
2011-11-23 16:32:32,131 vel_y, Err, -67.000000, P, -0.201000, I, 0.000000, D, 0.000000, PID, -0.100000
2011-11-23 16:32:32,181 vel_x, Err, -19.000000, P, -0.057000, I, 0.000000, D, 0.000000, PID, -0.057000
2011-11-23 16:32:32,181 vel_y, Err, -67.000000, P, -0.201000, I, 0.000000, D, 0.000000, PID, -0.100000
