2011-11-23 16:22:27,287 Starting DroneDriver
2011-11-23 16:22:27,620 vel_x, Err, -22.000000, P, -0.022000, I, 0.000000, D, 0.000000, PID, -0.022000
2011-11-23 16:22:27,620 vel_y, Err, 74.000000, P, 0.074000, I, 0.000000, D, 0.000000, PID, 0.074000
2011-11-23 16:22:27,655 vel_x, Err, -21.000000, P, -0.021000, I, 0.000000, D, 0.005620, PID, -0.015380
2011-11-23 16:22:27,656 vel_y, Err, 76.000000, P, 0.076000, I, 0.000000, D, 0.011224, PID, 0.087224
2011-11-23 16:22:27,780 vel_x, Err, -21.000000, P, -0.021000, I, 0.000000, D, 0.000000, PID, -0.021000
2011-11-23 16:22:27,781 vel_y, Err, 79.000000, P, 0.079000, I, 0.000000, D, 0.004792, PID, 0.083792
2011-11-23 16:22:27,807 vel_x, Err, -14.000000, P, -0.014000, I, 0.000000, D, 0.053409, PID, 0.039409
2011-11-23 16:22:27,807 vel_y, Err, 53.000000, P, 0.053000, I, 0.000000, D, -0.197351, PID, -0.100000
2011-11-23 16:22:27,831 vel_x, Err, -18.000000, P, -0.018000, I, 0.000000, D, -0.033132, PID, -0.051132
2011-11-23 16:22:27,831 vel_y, Err, 65.000000, P, 0.065000, I, 0.000000, D, 0.100188, PID, 0.100000
2011-11-23 16:22:27,856 vel_x, Err, -21.000000, P, -0.021000, I, 0.000000, D, -0.024022, PID, -0.045022
2011-11-23 16:22:27,856 vel_y, Err, 76.000000, P, 0.076000, I, 0.000000, D, 0.087996, PID, 0.100000
2011-11-23 16:22:28,078 vel_x, Err, -21.000000, P, -0.021000, I, 0.000000, D, 0.000000, PID, -0.021000
2011-11-23 16:22:28,078 vel_y, Err, 76.000000, P, 0.076000, I, 0.000000, D, 0.000000, PID, 0.076000
2011-11-23 16:22:28,130 vel_x, Err, -21.000000, P, -0.021000, I, 0.000000, D, 0.000000, PID, -0.021000
2011-11-23 16:22:28,131 vel_y, Err, 76.000000, P, 0.076000, I, 0.000000, D, 0.000000, PID, 0.076000
2011-11-23 16:22:29,056 vel_x, Err, -19.000000, P, -0.019000, I, 0.000000, D, 0.000000, PID, -0.019000
2011-11-23 16:22:29,056 vel_y, Err, 81.000000, P, 0.081000, I, 0.000000, D, 0.000000, PID, 0.081000
2011-11-23 16:22:29,106 vel_x, Err, -18.000000, P, -0.018000, I, 0.000000, D, 0.003996, PID, -0.014004
2011-11-23 16:22:29,106 vel_y, Err, 80.000000, P, 0.080000, I, 0.000000, D, -0.003994, PID, 0.076006
2011-11-23 16:22:29,155 vel_x, Err, -20.000000, P, -0.020000, I, 0.000000, D, -0.008041, PID, -0.028041
2011-11-23 16:22:29,156 vel_y, Err, 80.000000, P, 0.080000, I, 0.000000, D, 0.000000, PID, 0.080000
2011-11-23 16:22:29,231 vel_x, Err, -21.000000, P, -0.021000, I, 0.000000, D, -0.002664, PID, -0.023664
2011-11-23 16:22:29,231 vel_y, Err, 80.000000, P, 0.080000, I, 0.000000, D, 0.000000, PID, 0.080000
2011-11-23 16:22:29,281 vel_x, Err, -22.000000, P, -0.022000, I, 0.000000, D, -0.003992, PID, -0.025992
2011-11-23 16:22:29,281 vel_y, Err, 80.000000, P, 0.080000, I, 0.000000, D, 0.000000, PID, 0.080000
2011-11-23 16:22:29,306 vel_x, Err, -22.000000, P, -0.022000, I, 0.000000, D, 0.000000, PID, -0.022000
2011-11-23 16:22:29,306 vel_y, Err, 80.000000, P, 0.080000, I, 0.000000, D, 0.000000, PID, 0.080000
2011-11-23 16:22:29,381 vel_x, Err, -23.000000, P, -0.023000, I, 0.000000, D, -0.002660, PID, -0.025660
2011-11-23 16:22:29,381 vel_y, Err, 80.000000, P, 0.080000, I, 0.000000, D, 0.000000, PID, 0.080000
2011-11-23 16:22:29,431 vel_x, Err, -24.000000, P, -0.024000, I, 0.000000, D, -0.003999, PID, -0.027999
2011-11-23 16:22:29,431 vel_y, Err, 80.000000, P, 0.080000, I, 0.000000, D, 0.000000, PID, 0.080000
