2011-11-23 16:06:12,461 Starting DroneDriver
2011-11-23 16:06:25,203 vel_y, Err, -24.000000, P, -0.024000, I, 0.000000, D, 0.000000, PID, -0.024000
2011-11-23 16:06:25,680 vel_x, Err, 1.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:06:25,681 vel_y, Err, -22.000000, P, -0.022000, I, 0.000000, D, 0.001600, PID, -0.020400
2011-11-23 16:06:25,704 vel_x, Err, 1.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:06:25,705 vel_y, Err, -23.000000, P, -0.023000, I, 0.000000, D, -0.000800, PID, -0.023800
2011-11-23 16:06:25,728 vel_x, Err, 3.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:06:25,728 vel_y, Err, -24.000000, P, -0.024000, I, 0.000000, D, -0.000800, PID, -0.024800
2011-11-23 16:06:25,751 vel_x, Err, 3.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:06:25,751 vel_y, Err, -24.000000, P, -0.024000, I, 0.000000, D, 0.000000, PID, -0.024000
2011-11-23 16:06:26,202 vel_x, Err, 3.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:06:26,203 vel_y, Err, -23.000000, P, -0.023000, I, 0.000000, D, 0.000800, PID, -0.022200
2011-11-23 16:06:26,704 vel_x, Err, 9.000000, P, 0.009000, I, 0.000000, D, 0.007200, PID, 0.016200
2011-11-23 16:06:26,704 vel_y, Err, -26.000000, P, -0.026000, I, 0.000000, D, -0.002400, PID, -0.028400
2011-11-23 16:06:26,726 vel_x, Err, 11.000000, P, 0.011000, I, 0.000000, D, 0.001600, PID, 0.012600
2011-11-23 16:06:26,726 vel_y, Err, -27.000000, P, -0.027000, I, 0.000000, D, -0.000800, PID, -0.027800
2011-11-23 16:06:26,751 vel_x, Err, 11.000000, P, 0.011000, I, 0.000000, D, 0.000000, PID, 0.011000
2011-11-23 16:06:26,752 vel_y, Err, -28.000000, P, -0.028000, I, 0.000000, D, -0.000800, PID, -0.028800
2011-11-23 16:06:27,228 vel_x, Err, 13.000000, P, 0.013000, I, 0.000000, D, 0.001600, PID, 0.014600
2011-11-23 16:06:27,228 vel_y, Err, -31.000000, P, -0.031000, I, 0.000000, D, -0.002400, PID, -0.033400
2011-11-23 16:06:27,729 vel_x, Err, 10.000000, P, 0.010000, I, 0.000000, D, -0.002400, PID, 0.007600
2011-11-23 16:06:27,730 vel_y, Err, -29.000000, P, -0.029000, I, 0.000000, D, 0.001600, PID, -0.027400
2011-11-23 16:06:27,754 vel_x, Err, 9.000000, P, 0.009000, I, 0.000000, D, -0.000800, PID, 0.008200
2011-11-23 16:06:27,755 vel_y, Err, -32.000000, P, -0.032000, I, 0.000000, D, -0.002400, PID, -0.034400
2011-11-23 16:06:27,777 vel_x, Err, 7.000000, P, 0.007000, I, 0.000000, D, -0.001600, PID, 0.005400
2011-11-23 16:06:27,777 vel_y, Err, -33.000000, P, -0.033000, I, 0.000000, D, -0.000800, PID, -0.033800
2011-11-23 16:06:27,800 vel_x, Err, 7.000000, P, 0.007000, I, 0.000000, D, 0.000000, PID, 0.007000
2011-11-23 16:06:27,801 vel_y, Err, -34.000000, P, -0.034000, I, 0.000000, D, -0.000800, PID, -0.034800
2011-11-23 16:06:28,253 vel_x, Err, 5.000000, P, 0.005000, I, 0.000000, D, -0.001600, PID, 0.003400
2011-11-23 16:06:28,253 vel_y, Err, -35.000000, P, -0.035000, I, 0.000000, D, -0.000800, PID, -0.035800
2011-11-23 16:06:28,753 vel_x, Err, 4.000000, P, 0.004000, I, 0.000000, D, -0.000800, PID, 0.003200
2011-11-23 16:06:28,753 vel_y, Err, -32.000000, P, -0.032000, I, 0.000000, D, 0.002400, PID, -0.029600
2011-11-23 16:06:28,778 vel_x, Err, 5.000000, P, 0.005000, I, 0.000000, D, 0.000800, PID, 0.005800
2011-11-23 16:06:28,779 vel_y, Err, -32.000000, P, -0.032000, I, 0.000000, D, 0.000000, PID, -0.032000
2011-11-23 16:06:28,800 vel_x, Err, 2.000000, P, 0.002000, I, 0.000000, D, -0.002400, PID, -0.000400
2011-11-23 16:06:28,800 vel_y, Err, -30.000000, P, -0.030000, I, 0.000000, D, 0.001600, PID, -0.028400
2011-11-23 16:06:28,826 vel_x, Err, 2.000000, P, 0.002000, I, 0.000000, D, 0.000000, PID, 0.002000
2011-11-23 16:06:28,826 vel_y, Err, -30.000000, P, -0.030000, I, 0.000000, D, 0.000000, PID, -0.030000
2011-11-23 16:06:29,277 vel_x, Err, 2.000000, P, 0.002000, I, 0.000000, D, 0.000000, PID, 0.002000
2011-11-23 16:06:29,278 vel_y, Err, -31.000000, P, -0.031000, I, 0.000000, D, -0.000800, PID, -0.031800
2011-11-23 16:06:29,778 vel_x, Err, 3.000000, P, 0.003000, I, 0.000000, D, 0.000800, PID, 0.003800
2011-11-23 16:06:29,779 vel_y, Err, -29.000000, P, -0.029000, I, 0.000000, D, 0.001600, PID, -0.027400
2011-11-23 16:06:29,803 vel_x, Err, 4.000000, P, 0.004000, I, 0.000000, D, 0.000800, PID, 0.004800
2011-11-23 16:06:29,804 vel_y, Err, -29.000000, P, -0.029000, I, 0.000000, D, 0.000000, PID, -0.029000
2011-11-23 16:06:29,827 vel_x, Err, 4.000000, P, 0.004000, I, 0.000000, D, 0.000000, PID, 0.004000
2011-11-23 16:06:29,827 vel_y, Err, -29.000000, P, -0.029000, I, 0.000000, D, 0.000000, PID, -0.029000
2011-11-23 16:06:30,303 vel_x, Err, 4.000000, P, 0.004000, I, 0.000000, D, 0.000000, PID, 0.004000
2011-11-23 16:06:30,303 vel_y, Err, -29.000000, P, -0.029000, I, 0.000000, D, 0.000000, PID, -0.029000
2011-11-23 16:06:30,803 vel_x, Err, 5.000000, P, 0.005000, I, 0.000000, D, 0.000800, PID, 0.005800
2011-11-23 16:06:30,804 vel_y, Err, -29.000000, P, -0.029000, I, 0.000000, D, 0.000000, PID, -0.029000
2011-11-23 16:06:30,826 vel_x, Err, 6.000000, P, 0.006000, I, 0.000000, D, 0.000800, PID, 0.006800
2011-11-23 16:06:30,826 vel_y, Err, -29.000000, P, -0.029000, I, 0.000000, D, 0.000000, PID, -0.029000
2011-11-23 16:06:30,853 vel_x, Err, 5.000000, P, 0.005000, I, 0.000000, D, -0.000800, PID, 0.004200
2011-11-23 16:06:30,853 vel_y, Err, -29.000000, P, -0.029000, I, 0.000000, D, 0.000000, PID, -0.029000
2011-11-23 16:06:31,328 vel_x, Err, 5.000000, P, 0.005000, I, 0.000000, D, 0.000000, PID, 0.005000
2011-11-23 16:06:31,328 vel_y, Err, -28.000000, P, -0.028000, I, 0.000000, D, 0.000800, PID, -0.027200
2011-11-23 16:06:31,829 vel_x, Err, 5.000000, P, 0.005000, I, 0.000000, D, 0.000000, PID, 0.005000
2011-11-23 16:06:31,829 vel_y, Err, -28.000000, P, -0.028000, I, 0.000000, D, 0.000000, PID, -0.028000
2011-11-23 16:06:31,855 vel_x, Err, 5.000000, P, 0.005000, I, 0.000000, D, 0.000000, PID, 0.005000
2011-11-23 16:06:31,856 vel_y, Err, -28.000000, P, -0.028000, I, 0.000000, D, 0.000000, PID, -0.028000
2011-11-23 16:06:31,877 vel_x, Err, 5.000000, P, 0.005000, I, 0.000000, D, 0.000000, PID, 0.005000
2011-11-23 16:06:31,878 vel_y, Err, -28.000000, P, -0.028000, I, 0.000000, D, 0.000000, PID, -0.028000
2011-11-23 16:06:32,353 vel_x, Err, 5.000000, P, 0.005000, I, 0.000000, D, 0.000000, PID, 0.005000
2011-11-23 16:06:32,353 vel_y, Err, -27.000000, P, -0.027000, I, 0.000000, D, 0.000800, PID, -0.026200
2011-11-23 16:06:32,853 vel_x, Err, 4.000000, P, 0.004000, I, 0.000000, D, -0.000800, PID, 0.003200
2011-11-23 16:06:32,854 vel_y, Err, -27.000000, P, -0.027000, I, 0.000000, D, 0.000000, PID, -0.027000
2011-11-23 16:06:32,878 vel_x, Err, 4.000000, P, 0.004000, I, 0.000000, D, 0.000000, PID, 0.004000
2011-11-23 16:06:32,879 vel_y, Err, -28.000000, P, -0.028000, I, 0.000000, D, -0.000800, PID, -0.028800
2011-11-23 16:06:32,901 vel_x, Err, 3.000000, P, 0.003000, I, 0.000000, D, -0.000800, PID, 0.002200
2011-11-23 16:06:32,901 vel_y, Err, -28.000000, P, -0.028000, I, 0.000000, D, 0.000000, PID, -0.028000
2011-11-23 16:06:32,928 vel_x, Err, 4.000000, P, 0.004000, I, 0.000000, D, 0.000800, PID, 0.004800
2011-11-23 16:06:32,928 vel_y, Err, -28.000000, P, -0.028000, I, 0.000000, D, 0.000000, PID, -0.028000
2011-11-23 16:06:33,378 vel_x, Err, 4.000000, P, 0.004000, I, 0.000000, D, 0.000000, PID, 0.004000
2011-11-23 16:06:33,378 vel_y, Err, -29.000000, P, -0.029000, I, 0.000000, D, -0.000800, PID, -0.029800
2011-11-23 16:06:33,878 vel_x, Err, 5.000000, P, 0.005000, I, 0.000000, D, 0.000800, PID, 0.005800
2011-11-23 16:06:33,878 vel_y, Err, -28.000000, P, -0.028000, I, 0.000000, D, 0.000800, PID, -0.027200
2011-11-23 16:06:33,902 vel_x, Err, 5.000000, P, 0.005000, I, 0.000000, D, 0.000000, PID, 0.005000
2011-11-23 16:06:33,903 vel_y, Err, -27.000000, P, -0.027000, I, 0.000000, D, 0.000800, PID, -0.026200
2011-11-23 16:06:33,925 vel_x, Err, 5.000000, P, 0.005000, I, 0.000000, D, 0.000000, PID, 0.005000
2011-11-23 16:06:33,925 vel_y, Err, -28.000000, P, -0.028000, I, 0.000000, D, -0.000800, PID, -0.028800
2011-11-23 16:06:34,403 vel_x, Err, 6.000000, P, 0.006000, I, 0.000000, D, 0.000800, PID, 0.006800
2011-11-23 16:06:34,404 vel_y, Err, -28.000000, P, -0.028000, I, 0.000000, D, 0.000000, PID, -0.028000
2011-11-23 16:06:34,904 vel_x, Err, 4.000000, P, 0.004000, I, 0.000000, D, -0.001600, PID, 0.002400
2011-11-23 16:06:34,905 vel_y, Err, -28.000000, P, -0.028000, I, 0.000000, D, 0.000000, PID, -0.028000
2011-11-23 16:06:34,930 vel_x, Err, 5.000000, P, 0.005000, I, 0.000000, D, 0.000800, PID, 0.005800
2011-11-23 16:06:34,931 vel_y, Err, -28.000000, P, -0.028000, I, 0.000000, D, 0.000000, PID, -0.028000
2011-11-23 16:06:34,951 vel_x, Err, 5.000000, P, 0.005000, I, 0.000000, D, 0.000000, PID, 0.005000
2011-11-23 16:06:34,951 vel_y, Err, -27.000000, P, -0.027000, I, 0.000000, D, 0.000800, PID, -0.026200
2011-11-23 16:06:35,428 vel_x, Err, 7.000000, P, 0.007000, I, 0.000000, D, 0.001600, PID, 0.008600
2011-11-23 16:06:35,429 vel_y, Err, -26.000000, P, -0.026000, I, 0.000000, D, 0.000800, PID, -0.025200
2011-11-23 16:06:35,928 vel_x, Err, 7.000000, P, 0.007000, I, 0.000000, D, 0.000000, PID, 0.007000
2011-11-23 16:06:35,929 vel_y, Err, -25.000000, P, -0.025000, I, 0.000000, D, 0.000800, PID, -0.024200
2011-11-23 16:06:35,953 vel_x, Err, 8.000000, P, 0.008000, I, 0.000000, D, 0.000800, PID, 0.008800
2011-11-23 16:06:35,954 vel_y, Err, -26.000000, P, -0.026000, I, 0.000000, D, -0.000800, PID, -0.026800
2011-11-23 16:06:35,975 vel_x, Err, 9.000000, P, 0.009000, I, 0.000000, D, 0.000800, PID, 0.009800
2011-11-23 16:06:35,976 vel_y, Err, -26.000000, P, -0.026000, I, 0.000000, D, 0.000000, PID, -0.026000
2011-11-23 16:06:36,002 vel_x, Err, 9.000000, P, 0.009000, I, 0.000000, D, 0.000000, PID, 0.009000
2011-11-23 16:06:36,002 vel_y, Err, -27.000000, P, -0.027000, I, 0.000000, D, -0.000800, PID, -0.027800
2011-11-23 16:06:36,453 vel_x, Err, 9.000000, P, 0.009000, I, 0.000000, D, 0.000000, PID, 0.009000
2011-11-23 16:06:36,454 vel_y, Err, -27.000000, P, -0.027000, I, 0.000000, D, 0.000000, PID, -0.027000
2011-11-23 16:06:36,953 vel_x, Err, 10.000000, P, 0.010000, I, 0.000000, D, 0.000800, PID, 0.010800
2011-11-23 16:06:36,954 vel_y, Err, -24.000000, P, -0.024000, I, 0.000000, D, 0.002400, PID, -0.021600
2011-11-23 16:06:36,978 vel_x, Err, 9.000000, P, 0.009000, I, 0.000000, D, -0.000800, PID, 0.008200
2011-11-23 16:06:36,979 vel_y, Err, -23.000000, P, -0.023000, I, 0.000000, D, 0.000800, PID, -0.022200
2011-11-23 16:06:37,003 vel_x, Err, 8.000000, P, 0.008000, I, 0.000000, D, -0.000800, PID, 0.007200
2011-11-23 16:06:37,004 vel_y, Err, -25.000000, P, -0.025000, I, 0.000000, D, -0.001600, PID, -0.026600
2011-11-23 16:06:37,029 vel_x, Err, 8.000000, P, 0.008000, I, 0.000000, D, 0.000000, PID, 0.008000
2011-11-23 16:06:37,029 vel_y, Err, -25.000000, P, -0.025000, I, 0.000000, D, 0.000000, PID, -0.025000
2011-11-23 16:06:37,478 vel_x, Err, 8.000000, P, 0.008000, I, 0.000000, D, 0.000000, PID, 0.008000
2011-11-23 16:06:37,479 vel_y, Err, -25.000000, P, -0.025000, I, 0.000000, D, 0.000000, PID, -0.025000
2011-11-23 16:06:37,978 vel_x, Err, 7.000000, P, 0.007000, I, 0.000000, D, -0.000800, PID, 0.006200
2011-11-23 16:06:37,979 vel_y, Err, -23.000000, P, -0.023000, I, 0.000000, D, 0.001600, PID, -0.021400
2011-11-23 16:06:38,003 vel_x, Err, 8.000000, P, 0.008000, I, 0.000000, D, 0.000800, PID, 0.008800
2011-11-23 16:06:38,003 vel_y, Err, -21.000000, P, -0.021000, I, 0.000000, D, 0.001600, PID, -0.019400
